0,1,2,3,4,5,6,7,8,9,yes,no
donna,giacche,blu,lino,Giacca-doppiopetto-in-lino,P/E-2023,casual,everyday-business,38-40-42-44-46-48,2000,0,1
donna,pantaloni,grigioscuro-ghiaccio-blu,lino,Pantaloni-dritti-in-lino,P/E-2023,casual,everyday-business,38-40-42-44-46-48-50,1000,0,1
donna,pantaloni,fantasia,twill-di-seta,Pantaloni-morbidi-in-twill-di-seta-stampa-check,P/E-2023,casual,everyday-business,36-38-40-42-44-46-48,1500,1,0
donna,sneakers,bianco-blu,pelle,Sneakers-in-tessuto-tecnico-pelle,P/E-2023,casual,everyday,36-36.5-37-38-38.5-39-40-41,1000,0,1
donna,abiti,nero-blu,jersey,Abito-tubino-in-jersey-di-viscosa-stretch,P/E-2023,elegant,cocktail-dinner,"38-40-42-44-46-48",1000,0,1
donna,giacche,fantasia,twill-di-seta,Giacca-doppiopetto-in-twill-di-seta-stampa-check,P/E-2023,casual,everyday-business,38-40-42-44-46-48,3000,0,1
donna,sandali,argento-oro,pelle,Sandali-infradito-in-nappa-laminata-gomma,P/E-2023,casual,everyday,36-36.5-37-38-38.5-39-40-41,1000,0,1
donna,sandali,nero,vernice,Sandali-con-tacco-in-vernice,P/E-2023,elegant,cocktail-dinner,36-36.5-37-38-38.5-39-40-41,1000,0,1
donna,sandali,nero-marrone,nappa,Sandali-flat-in-nappa,P/E-2023,elegant--casual,everyday-cocktail,36-36.5-37-38-38.5-39-40-41,1000,0,1
donna,sandali,nero,raso-sautage,Sandali-flat-in-raso-sautage,P/E-2023,casual,everyday,36-37-37.5-38-38.5-39-40-41,1000,0,1
donna,giacche,blunavy,cachemire,Giacca-monopetto-in-jersey-di-puro-cashmere,P/E-2023,elegant,dinner,38-40-42-44-46-48,3000,0,1
donna,pantaloni,blunavy-nero,lana,Pantaloni-in-crepe-di-lana,P/E-2023,elegant,everyday-dinner,38-40-42-44-46-48-50,1000,0,1
donna,scarpe,nero,pelle,Slingback-in-nappa-con-dettaglio-elastici,P/E-2023,elegant,everyday,37-38-38.5-39-40-41,1000,0,1
donna,abiti,rosa,tulle,Abito-in-tulle-cielo-stellato,P/E-2023,elegant,specialevent,40-42,7500,1,0
donna,scarpe,nude-nero,pelle,Ballerine-in-nappa-con-dettaglio-elastici,P/E-2023,elegant,everyday,37-38-39-40-41,1000,0,1
donna,scarpe,nude-nero,pelle,Slingback-con-tacco-in-vernice-con-scollo-asimmetrico,P/E-2023,elegant,specialevent-dinner-cocktail-everyday,36-37-37.5-38-38.5-39-40-41,1000,0,1
donna,abiti,blu-nero,misto-viscosa,Abito-longuette-in-misto-viscosa-punto-Milano,P/E-2023,elegant,specialevent-dinner,"38-40-42-44-46-48",1000,0,1
donna,sandali,oro,viscosa-seta,Sandali-con-tacco-motivo-snake,P/E-2023,elegant,specialevent-dinner,37-38-38.5-39-39.5-40-41,1000,0,1
