category,type,color,material,name,collection,tags_typology,tags_context,description,details,size,price,images,url
donna,giacche,blu,lino,Giacca doppiopetto in lino,P/E 2023,casual,"everyday, business","Giacca doppiopetto realizzata in lino, dalle linee rigorose che richiamano i modelli maschili. Il modello, reso particolarmente leggero da indossare, grazie alla freschezza del lino unita alla costruzione sfoderata, presenta revers a lancia, due tasche a toppa e un taschino sul petto.","- Composizione: 100% lino
 - Revers a lancia
 - Chiusura doppiopetto a due bottoni
 - Due ampie tasche applicate
 - Un taschino a filetto sul petto
 - Spacco al centro dietro
 - Foderata
 - Lunghezza: 70 cm","38, 40, 42, 44, 46, 48",1900,"[{""color"":""blu"",""url"":""https://www.armani.com/variants/images/1647597298995657/D/w800.jpg""}]",https://www.armani.com/it-it/giacca-doppiopetto-in-lino_cod1647597298995657.html
donna,pantaloni,"grigio scuro, ghiaccio e blu",lino,Pantaloni dritti in lino,P/E 2023,casual,"everyday, business","Design essenziale e volumi ampi per questi pantaloni realizzati in lino, con chiusura con zip e cinturino liscio. Un modello versatile, che grazie alla leggerezza del tessuto e le linee morbide, veste la silhouette senza costrizioni.","- Composizione: 100% lino
 - Cinturino liscio
 - Chiusura con zip sul fianco
 - Pieghe morbide sul davanti
 - Due tasche laterali a filetto
 - Ampiezza fondo: 20 cm
 - Made in Italy","38, 40, 42, 44, 46, 48, 50",790,"[{""color"":""blu"",""url"":""https://www.armani.com/variants/images/1647597298967503/F/w960.jpg""},{""color"":""grigio scuro"",""url"":""https://www.armani.com/variants/images/1647597298967475/F/w800.jpg""},{""color"":""ghiaccio"",""url"":""https://www.armani.com/variants/images/1647597298967502/F/w800.jpg""}]",https://www.armani.com/it-it/pantaloni-dritti-in-lino_cod1647597298967503.html
donna,pantaloni,fantasia,twill di seta,Pantaloni morbidi in twill di seta stampa check,P/E 2023,casual,"everyday, business","Pantaloni morbidi, realizzati in twill di seta, dal design senza tempo. Il modello presenta cinturino con passanti, due tasche a filetto e si caratterizzano per la stampa check dal leggero effetto sfumato, elemento ricorrente di collezione.","- Composizione: 100% seta
- Cinturino con passanti
- Chiusura con zip sottofinta
- Due tasche diagonali
- Due taschini a filetto sul retro
- Ampiezza fondo: 28 cm
- Made in Italy","36, 38, 40, 42, 44, 46, 48",1500,"[{""color"":""fantasia"",""url"":""https://www.armani.com/variants/images/1647597299001957/F/w800.jpg""}]",https://www.armani.com/it-it/pantaloni-morbidi-in-twill-di-seta-stampa-check_cod1647597299001957.html
donna,sneakers,bianco e blu,pelle,Sneakers in tessuto tecnico e pelle,P/E 2023,casual,everyday,"Sneakers dalla connotazione sportiva e casual, realizzate in pelle di vitello e tessuto tecnico in tono. Il modello, caratterizzato dall'allacciatura che richiama le calzature di trekking, presenta una suola in gomma logata ed è personalizzato dal logo GA sul tallone. Una scarpa versatile, pensata per look rilassati adatti al tempo libero.","- Composizione: 100% pelle di bovino
 - Allacciatura stile trekking
 - Linguetta sul tallone
 - Logo GA sul tallone
 - Fondo gomma","36, 36.5, 37, 38, 38.5, 39, 40, 41",650,"[{""color"":""bianco"",""url"":""https://www.armani.com/variants/images/1647597298987019/F/w800.jpg""},{""color"":""blu"",""url"":""https://www.armani.com/variants/images/1647597298987020/F/w800.jpg""}]",https://www.armani.com/it-it/sneakers-in-tessuto-tecnico-e-pelle_cod1647597298987019.html
donna,abiti,nero e blu,jersey,Abito tubino in jersey di viscosa stretch,P/E 2023,elegant,"cocktail, dinner","Abito dal taglio a tubino dalle linee aderenti, realizzato in jersey di viscosa stretch. Il modello si caratterizza per il profondo scollo a V sulla schiena e il gioco di pieghe che lo impreziosisce e movimenta l'intero capo. Particolari: lo scollo frontale, che può essere portato con le spalle scoperte o coperte, a seconda dell'occasione.","- Composizione: 83% viscosa, 11% poliammide, 6% elastan
 - Scollo a V
 - Motivo di drappeggio sulle spalle
 - Corpino drappeggiato
 - Chiusura con zip sul retro
 - Profondo scollo a V sulla schiena
 - Made in Italy","38, 40, 42, 44, 46, 48

",600,"[{""color"":""nero"",""url"":""https://www.armani.com/variants/images/1647597298961606/F/w800.jpg""},{""color"":""blu"",""url"":""https://www.armani.com/variants/images/1647597298961605/F/w800.jpg""}]",https://www.armani.com/it-it/abito-tubino-in-jersey-di-viscosa-stretch_cod1647597298961606.html
donna,giacche,fantasia,twill di seta,Giacca doppiopetto in twill di seta stampa check,P/E 2023,casual,"everyday, business","Giacca doppiopetto realizzata in seta, dalle linee rigorose che richiamano i modelli maschili. Il modello, reso particolarmente confortevole da indossare, grazie alla leggerezza della seta e alla costruzione sfoderata, presenta revers a lancia, due tasche a toppa e un taschino sul petto ed è impreziosito dalla stampa check da delicato effetto sfumato, elemento ricorrente di collezione.","- Composizione: 100% seta
- Revers a lancia
- Chiusura doppiopetto a due bottoni
- Due ampie tasche applicate
- Un taschino a filetto sul petto
- Spacco al centro dietro
- Foderata
- Lunghezza: 70 cm","38, 40, 42, 44, 46, 48",2900,"[{""color"":""fantasia"",""url"":""https://www.armani.com/variants/images/1647597298995658/F/w960.jpg""}]",https://www.armani.com/it-IT/giacca-doppiopetto-in-twill-di-seta-stampa-check_cod1647597298995658.html
donna,sandali,argento e oro,pelle,Sandali infradito in nappa laminata e gomma,P/E 2023,casual,everyday,"L'effetto stardust dato dall'ampia fascia in gomma illumina questi sandali infradito realizzati in nappa laminata. Un modello essenziale nelle forme e passepartout, che saprà completare numerosi look in abbinamento a pantaloni e gonne di collezione."," - Composizione: 100% pelle di vitello
- Dettagli in pelle laminata
- Inserto in gomma glitter
- Soletta interna in pelle
- Suola in cuoio
- Made in Italy","36, 36.5, 37, 38, 38.5, 39, 40, 41",550,"[{""color"":""argento"",""url"":""https://www.armani.com/variants/images/1647597298986207/F/w800.jpg""},{""color"":""oro"",""url"":""https://www.armani.com/variants/images/1647597309265994/F/w800.jpg""}]",https://www.armani.com/it-it/sandali-infradito-in-nappa-laminata-e-gomma_cod1647597298986207.html
donna,sandali,nero,vernice,Sandali con tacco in vernice,P/E 2023,elegant,"cocktail, dinner","Linea slanciata per questi sandali alti realizzati in vernice liquida, caratterizzati dal cinturino alla caviglia con elastico. Un modello dall'allure sofisticata, che saprà completare diversi outfit con un tocco ricercato ed elegante.","- Composizione: 100% pelle di bovino
 - Cinturino elasticizzato alla caviglia
 - Tacco a stiletto ricoperto
 - Altezza tacco: 9,5 cm
 - Soletta in pelle
 - Suola in cuoio
 - Made in Italy","36, 36.5, 37, 38, 38.5, 39, 40, 41",590,"[{""color"":""nero"",""url"":""https://www.armani.com/variants/images/45666037505232426/F/w800.jpg""}]",https://www.armani.com/it-it/sandali-con-tacco-in-vernice_cod45666037505232426.html
donna,sandali,nero e marrone,nappa,Sandali flat in nappa,P/E 2023,"elegant, casual","everyday, cocktail","Essenziali e puliti nella forma, questi sandali flat, realizzati in morbida nappa conquistano per la loro attitudine sofisticata e passepartout. Impreziositi dal motivo di impunture della fascia e dal sottopiede imbottito che assicura un comfort ottimale alla camminata, si prestano a numerosi abbinamenti con i look di collezione.","- Composizione: 100% pelle di agnello
 - Fascia con motivo di impunture
 - Dettaglio sottopiede imbottito con morivo impunture e logo GA metallico
 - Suola in cuoio
 - Altezza tacco: 6,5 cm
 - Made in Italy","36, 36.5, 37, 38, 38.5, 39, 40, 41",650,"[{""color"":""nero"",""url"":""https://www.armani.com/variants/images/1647597298986394/F/w800.jpg""},{""color"":""marrone"",""url"":""https://www.armani.com/variants/images/1647597298987010/F/w800.jpg""}]",https://www.armani.com/it-it/sandali-flat-in-nappa_cod1647597298986394.html
donna,sandali,nero,raso sautage,Sandali flat in raso sautage,P/E 2023,casual,everyday,"Sofisticata ciabattina realizzata in raso sautage, caratterizzata dal particolare ricamo a contrasto che impreziosisce la fascia. Un modello essenziale nelle linee, con morbida soletta leggermente imbottita e suola in cuoio, perfetto per completare outfit da giorno con un tocco chic.","- Composizione: 72% viscosa, 28% seta
- Dettaglio fascia unica con logo GA frontale
- Soletta imbottita
- Suola cuoio
- Made in Italy","36, 37, 37.5, 38, 38.5, 39, 40, 41",790,"[{""color"":""nero"",""url"":""https://www.armani.com/variants/images/45666037505117069/F/w800.jpg""}]",https://www.armani.com/it-it/sandali-flat-in-raso-sautage_cod45666037505117069.html
